open,high,low,close,date
1456.38,1461.57,1450.51,1456.38,"Feb 22, 2007"
1451.19,1456.22,1448.36,1451.19,"Feb 23, 2007"
1449.37,1456.95,1445.48,1449.37,"Feb 26, 2007"
1399.04,1449.25,1389.42,1399.04,"Feb 27, 2007"
1406.82,1415.89,1396.65,1406.82,"Feb 28, 2007"
1403.17,1409.46,1380.87,1403.17,"Mar 1, 2007"
1387.17,1403.40,1386.87,1387.17,"Mar 2, 2007"
1374.12,1391.86,1373.97,1374.12,"Mar 5, 2007"
1395.41,1397.90,1374.06,1395.41,"Mar 6, 2007"
1391.97,1401.16,1390.64,1391.97,"Mar 7, 2007"
1401.89,1407.93,1391.88,1401.89,"Mar 8, 2007"
1402.85,1410.15,1397.30,1402.85,"Mar 9, 2007"
1406.60,1409.34,1398.40,1406.60,"Mar 12, 2007"
1377.95,1406.23,1377.71,1377.95,"Mar 13, 2007"
1387.17,1388.09,1363.98,1387.17,"Mar 14, 2007"
1392.28,1395.73,1385.16,1392.28,"Mar 15, 2007"
1386.95,1397.51,1383.63,1386.95,"Mar 16, 2007"
1402.06,1403.20,1387.78,1402.06,"Mar 19, 2007"
1410.94,1411.53,1400.70,1410.94,"Mar 20, 2007"
1435.04,1437.77,1409.75,1435.04,"Mar 21, 2007"
1434.54,1437.66,1429.88,1434.54,"Mar 22, 2007"
1436.11,1438.89,1433.21,1436.11,"Mar 23, 2007"
1437.50,1437.65,1423.28,1437.50,"Mar 26, 2007"
1428.61,1437.49,1425.54,1428.61,"Mar 27, 2007"
1417.23,1428.35,1414.07,1417.23,"Mar 28, 2007"
1422.53,1426.24,1413.27,1422.53,"Mar 29, 2007"
1420.86,1429.22,1408.90,1420.86,"Mar 30, 2007"
1424.55,1425.49,1416.37,1424.55,"Apr 2, 2007"
1437.77,1440.57,1424.27,1437.77,"Apr 3, 2007"
1439.37,1440.16,1435.08,1439.37,"Apr 4, 2007"
1443.76,1444.88,1436.67,1443.76,"Apr 5, 2007"
1443.76,1444.88,1436.67,1443.76,"Apr 6, 2007"
1444.61,1448.10,1443.28,1444.61,"Apr 9, 2007"
1448.39,1448.73,1443.99,1448.39,"Apr 10, 2007"
1438.87,1448.39,1436.15,1438.87,"Apr 11, 2007"
1447.80,1448.02,1433.91,1447.80,"Apr 12, 2007"
1452.85,1453.11,1444.15,1452.85,"Apr 13, 2007"
1468.47,1468.62,1453.75,1468.47,"Apr 16, 2007"
1471.48,1474.35,1467.15,1471.48,"Apr 17, 2007"
1472.50,1476.57,1466.41,1472.50,"Apr 18, 2007"
1470.73,1474.23,1464.47,1470.73,"Apr 19, 2007"
1484.35,1484.74,1470.69,1484.35,"Apr 20, 2007"
1480.93,1487.32,1480.19,1480.93,"Apr 23, 2007"
1480.41,1483.82,1473.74,1480.41,"Apr 24, 2007"
1495.42,1496.59,1480.75,1495.42,"Apr 25, 2007"
1494.25,1498.02,1491.17,1494.25,"Apr 26, 2007"
1494.07,1497.32,1488.67,1494.07,"Apr 27, 2007"
1482.37,1497.16,1482.29,1482.37,"Apr 30, 2007"
1486.30,1487.27,1476.70,1486.30,"May 1, 2007"
1495.92,1499.10,1486.45,1495.92,"May 2, 2007"
1502.39,1503.34,1496.99,1502.39,"May 3, 2007"
1505.62,1510.34,1501.80,1505.62,"May 4, 2007"
1509.48,1511.00,1505.54,1509.48,"May 7, 2007"
1507.72,1509.36,1500.67,1507.72,"May 8, 2007"
1512.58,1513.80,1503.77,1512.58,"May 9, 2007"
1491.47,1509.57,1491.42,1491.47,"May 10, 2007"
1505.85,1506.24,1491.47,1505.85,"May 11, 2007"
1503.15,1510.90,1498.34,1503.15,"May 14, 2007"
1501.19,1501.19,1501.19,1501.19,"May 15, 2007"
1514.14,1514.14,1514.14,1514.14,"May 16, 2007"
1512.75,1517.14,1509.29,1512.75,"May 17, 2007"
1522.75,1522.75,1513.80,1522.75,"May 18, 2007"
1525.10,1529.87,1522.71,1525.10,"May 21, 2007"
1524.12,1529.24,1522.05,1524.12,"May 22, 2007"
1522.28,1532.43,1521.90,1522.28,"May 23, 2007"
1507.51,1529.31,1505.18,1507.51,"May 24, 2007"
1515.73,1517.41,1507.50,1515.73,"May 25, 2007"
1518.11,1521.80,1512.02,1518.11,"May 29, 2007"
1530.23,1530.23,1510.06,1530.23,"May 30, 2007"
1530.62,1535.56,1528.26,1530.62,"May 31, 2007"
1536.34,1540.56,1530.62,1536.34,"Jun 1, 2007"
1539.18,1540.53,1532.31,1539.18,"Jun 4, 2007"
1530.95,1538.40,1525.62,1530.95,"Jun 5, 2007"
1517.38,1530.57,1514.13,1517.38,"Jun 6, 2007"
1490.72,1515.66,1490.37,1490.72,"Jun 7, 2007"
1507.67,1507.76,1487.41,1507.67,"Jun 8, 2007"
1509.12,1515.53,1503.35,1509.12,"Jun 11, 2007"
1493.00,1511.23,1492.97,1493.00,"Jun 12, 2007"
1515.67,1515.70,1493.50,1515.67,"Jun 13, 2007"
1522.97,1526.45,1515.65,1522.97,"Jun 14, 2007"
1532.91,1538.71,1525.46,1532.91,"Jun 15, 2007"
1531.05,1535.44,1529.31,1531.05,"Jun 18, 2007"
1533.70,1535.85,1525.67,1533.70,"Jun 19, 2007"
1512.84,1537.32,1512.36,1512.84,"Jun 20, 2007"
1522.19,1522.90,1505.71,1522.19,"Jun 21, 2007"
1502.56,1522.19,1500.74,1502.56,"Jun 22, 2007"
1497.74,1514.29,1492.82,1497.74,"Jun 25, 2007"
1492.89,1506.12,1490.54,1492.89,"Jun 26, 2007"
1506.34,1506.70,1484.18,1506.34,"Jun 27, 2007"
1505.71,1514.84,1503.41,1505.71,"Jun 28, 2007"
1503.35,1517.53,1493.61,1503.35,"Jun 29, 2007"
1519.43,1519.45,1506.14,1519.43,"Jul 2, 2007"
1524.87,1526.01,1519.12,1524.87,"Jul 3, 2007"
1525.40,1526.57,1517.72,1525.40,"Jul 5, 2007"
1530.44,1532.40,1520.47,1530.44,"Jul 6, 2007"
1531.85,1534.26,1527.45,1531.85,"Jul 9, 2007"
1510.12,1528.94,1510.01,1510.12,"Jul 10, 2007"
1518.76,1519.34,1506.10,1518.76,"Jul 11, 2007"
1547.70,1547.91,1518.74,1547.70,"Jul 12, 2007"
1552.50,1555.10,1544.85,1552.50,"Jul 13, 2007"
1549.52,1555.90,1546.69,1549.52,"Jul 16, 2007"
1549.37,1555.32,1547.88,1549.37,"Jul 17, 2007"
1546.17,1549.20,1533.67,1546.17,"Jul 18, 2007"
1553.08,1555.20,1546.97,1553.08,"Jul 19, 2007"
1534.10,1553.19,1529.20,1534.10,"Jul 20, 2007"
1541.57,1547.23,1539.20,1541.57,"Jul 23, 2007"
1511.04,1541.57,1508.62,1511.04,"Jul 24, 2007"
1518.09,1524.31,1503.73,1518.09,"Jul 25, 2007"
1482.66,1515.95,1467.65,1482.66,"Jul 26, 2007"
1458.95,1488.10,1458.95,1458.95,"Jul 27, 2007"
1473.91,1477.87,1454.32,1473.91,"Jul 30, 2007"
1455.27,1488.28,1454.25,1455.27,"Jul 31, 2007"
1465.81,1467.27,1439.59,1465.81,"Aug 1, 2007"
1472.20,1476.43,1460.58,1472.20,"Aug 2, 2007"
1433.06,1472.76,1432.80,1433.06,"Aug 3, 2007"
1467.67,1467.67,1427.39,1467.67,"Aug 6, 2007"
1476.71,1488.30,1456.91,1476.71,"Aug 7, 2007"
1497.49,1503.89,1476.22,1497.49,"Aug 8, 2007"
1453.09,1497.21,1453.09,1453.09,"Aug 9, 2007"
1453.64,1461.97,1430.09,1453.64,"Aug 10, 2007"
1452.92,1466.29,1451.54,1452.92,"Aug 13, 2007"
1426.54,1456.74,1426.20,1426.54,"Aug 14, 2007"
1406.70,1439.88,1404.82,1406.70,"Aug 15, 2007"
1411.27,1415.97,1370.60,1411.27,"Aug 16, 2007"
1445.94,1449.73,1419.67,1445.94,"Aug 17, 2007"
1445.55,1451.35,1430.54,1445.55,"Aug 20, 2007"
1447.12,1455.32,1439.76,1447.12,"Aug 21, 2007"
1464.07,1464.86,1447.03,1464.07,"Aug 22, 2007"
1462.50,1472.06,1453.88,1462.50,"Aug 23, 2007"
1479.37,1479.40,1461.10,1479.37,"Aug 24, 2007"
1466.79,1478.52,1466.36,1466.79,"Aug 27, 2007"
1432.36,1464.89,1432.17,1432.36,"Aug 28, 2007"
1463.76,1463.76,1433.61,1463.76,"Aug 29, 2007"
1457.64,1468.43,1451.25,1457.64,"Aug 30, 2007"
1473.99,1481.47,1457.61,1473.99,"Aug 31, 2007"
1489.42,1496.24,1473.00,1489.42,"Sep 4, 2007"
1472.29,1488.76,1466.34,1472.29,"Sep 5, 2007"
1478.55,1481.40,1467.82,1478.55,"Sep 6, 2007"
1453.55,1475.02,1449.07,1453.55,"Sep 7, 2007"
1451.70,1461.85,1439.99,1451.70,"Sep 10, 2007"
1471.49,1472.48,1452.95,1471.49,"Sep 11, 2007"
1471.56,1479.50,1465.75,1471.56,"Sep 12, 2007"
1483.95,1489.58,1471.47,1483.95,"Sep 13, 2007"
1484.25,1485.99,1473.18,1484.25,"Sep 14, 2007"
1476.65,1483.19,1471.82,1476.65,"Sep 17, 2007"
1519.78,1519.88,1477.67,1519.78,"Sep 18, 2007"
1529.03,1538.33,1521.24,1529.03,"Sep 19, 2007"
1518.75,1529.14,1516.42,1518.75,"Sep 20, 2007"
1525.75,1530.89,1520.11,1525.75,"Sep 21, 2007"
1517.73,1530.18,1516.15,1517.73,"Sep 24, 2007"
1517.21,1518.17,1507.13,1517.21,"Sep 25, 2007"
